ptime,start_code,end_code,spec_datetime,spec_type
2022-02-18 22:04:18.570000,9039011,1430051,2022-02-18 20:24:00,0
2022-02-21 21:46:40.200000,1400141,1040191,2022-02-21 20:29:00,0
2022-02-21 21:46:40.200000,1400141,1040191,2022-02-21 20:29:00,0
2022-02-27 20:27:06.240000,1040366,1040001,2022-02-27 15:41:00,0
2022-02-27 20:27:06.240000,1040366,1040001,2022-02-27 15:41:00,0
2022-02-27 20:27:06.240000,1040366,1040001,2022-02-27 15:41:00,0
2022-03-05 22:41:48.120000,1430021,6016066,2022-03-05 19:03:00,0
2022-03-05 22:41:48.120000,1430021,6016066,2022-03-05 19:03:00,0
2022-03-14 16:48:57.240000,1800131,1800016,2022-03-14 15:18:00,0
2022-03-14 16:48:57.240000,1800131,1800016,2022-03-14 15:18:00,0
2022-03-14 16:48:57.240000,1800131,1800016,2022-03-14 15:18:00,0
2022-03-14 16:48:57.240000,1800131,1800016,2022-03-14 15:18:00,0
2022-03-14 16:49:57.240000,1800131,1800016,2022-03-14 15:19:00,0
2022-03-14 16:49:57.240000,1800131,1800016,2022-03-14 15:19:00,0
2022-03-14 16:49:57.240000,1800131,1800016,2022-03-14 15:19:00,0
2022-04-12 16:41:13.860000,6026026,1080251,2022-04-12 12:44:00,0
2022-04-12 16:41:13.860000,6026026,1080251,2022-04-12 12:44:00,0
2022-04-29 13:04:55.500000,1400101,1080121,2022-04-29 06:41:00,0
2022-04-29 13:04:55.500000,1400101,1080121,2022-04-29 06:41:00,0
2022-04-29 13:04:55.500000,1400101,1080121,2022-04-29 06:41:00,0
2022-04-29 13:04:55.500000,1400101,1080121,2022-04-29 06:41:00,0
2022-04-29 16:10:27.720000,214K221,1800091,2022-04-29 14:19:00,0
2022-05-03 00:19:42.480000,1810036,1120041,2022-05-02 22:07:00,0
2022-05-03 09:10:04.560000,1040051,1040076,2022-05-03 08:59:00,0
2022-05-03 12:01:33.780000,1040026,1800183,2022-05-03 09:27:00,0
2022-05-03 12:01:33.780000,1040026,1800183,2022-05-03 09:27:00,0
2022-05-04 12:26:18.480000,1810001,1400011,2022-05-04 11:13:00,0
2022-05-04 12:26:18.480000,1810001,1400011,2022-05-04 11:13:00,0
2022-05-04 12:26:18.480000,1810001,1400011,2022-05-04 11:13:00,0
2022-05-04 12:26:18.480000,1810001,1400011,2022-05-04 11:13:00,0
2022-05-12 21:03:26.970000,1430026,1040241,2022-05-12 20:28:00,0
2022-05-12 21:03:26.970000,1430026,1040241,2022-05-12 20:28:00,0
2022-05-12 21:03:26.970000,1430026,1040241,2022-05-12 20:28:00,0
2022-05-13 10:56:48.480000,1040191,1040031,2022-05-13 08:54:00,0
2022-05-13 10:56:48.480000,1040191,1040031,2022-05-13 08:54:00,0
2022-05-14 23:10:00.720000,6019001,1440096,2022-05-14 19:43:00,0
2022-05-21 22:39:00.180000,1100006,1430071,2022-05-21 17:54:00,0
2022-06-01 09:12:28.260000,213A031,1810091,2022-06-01 06:21:00,0
2022-06-01 09:12:28.260000,213A031,1810091,2022-06-01 06:21:00,0
2022-06-01 09:12:28.260000,213A031,1810091,2022-06-01 06:21:00,0
2022-06-02 02:59:07.740000,1100031,202C001,2022-06-01 20:02:00,0
2022-06-02 02:59:07.740000,1100031,202C001,2022-06-01 20:02:00,0
2022-06-02 07:36:54.840000,1040251,1420041,2022-06-02 05:17:00,0
2022-06-11 01:35:19.050000,1011176,1040076,2022-06-10 18:39:00,0
2022-06-11 23:40:11.700000,1440051,1040191,2022-06-11 22:55:00,0
2022-06-19 19:41:42.630000,1810086,1800001,2022-06-19 17:30:00,0
2022-06-20 23:44:49.680000,1040026,1040121,2022-06-20 22:32:00,0
2022-06-20 23:44:49.680000,1040026,1040121,2022-06-20 22:32:00,0
2022-06-23 07:02:18.180000,1800001,214K066,2022-06-23 06:44:00,0
2022-06-23 07:02:18.180000,1800001,214K066,2022-06-23 06:44:00,0
2022-06-23 07:02:18.180000,1800001,214K066,2022-06-23 06:44:00,0
2022-07-07 10:47:00.420000,208F001,1040106,2022-07-07 09:15:00,0
2022-07-13 13:18:49.680000,1040026,1040121,2022-07-13 12:06:00,0
2022-07-18 20:46:51.630000,1810036,1800001,2022-07-18 19:26:00,0
2022-07-20 19:23:08.160000,6017016,1080156,2022-07-20 14:24:00,0
2022-07-28 14:04:06.240000,1040161,1400046,2022-07-28 11:42:00,0
